
***************************************************
* GFA 1.6.5.5065 - GNSDK 3.10.8 for Android (x86_64)
* Logging started:	2019-04-21 12:49:21.303 	

2019-04-21 12:49:21.316 	DEBUG    	GNSDK SQLite 	0xF7C05B80	[api_trace]	gnsdk_storage_sqlite_initialize( 7FA6F70A7020 )
2019-04-21 12:49:21.316 	DEBUG    	GNSDK SQLite 	0xF7C05B80	sqlite_storage_helpers.c[118]	SQLite3 lib path:    <internal>
2019-04-21 12:49:21.316 	DEBUG    	GNSDK SQLite 	0xF7C05B80	sqlite_storage_helpers.c[119]	SQLite3 lib version: 3.8.11.1
2019-04-21 12:49:21.316 	DEBUG    	GNSDK SQLite 	0xF7C05B80	sqlite_storage_helpers.c[120]	SQLite3 source id:   2015-07-29 20:00:57 cf538e2783e468bbc25e7cb2a9ee64d3e0e80b2f
2019-04-21 12:49:21.316 	INFO     	GNSDK SQLite 	0xF7C05B80	[no_source]	SQLite Initialize: Version 3.10.8  Built 2017-01-31 18:51-0800
2019-04-21 12:49:21.316 	DEBUG    	GNSDK SQLite 	0xF7C05B80	[api_trace]	gnsdk_storage_sqlite_option_set( gnsdk_storage_sqlite_storage_folder, /system/media/gracenote/gndb/NA/ )
2019-04-21 12:49:21.316 	DEBUG    	GNSDK SQLite 	0xF7C05B80	[no_source]	gnsdk_storage_sqlite_option_set(gnsdk_storage_sqlite_storage_folder, /system/media/gracenote/gndb/NA/)
2019-04-21 12:49:21.316 	DEBUG    	GNSDK SQLite 	0xF7C05B80	[api_trace]	gnsdk_storage_sqlite_option_set( gnsdk_storage_sqlite_filesize, 102400 )
2019-04-21 12:49:21.316 	DEBUG    	GNSDK SQLite 	0xF7C05B80	[no_source]	gnsdk_storage_sqlite_option_set(gnsdk_storage_sqlite_filesize, 102400)
2019-04-21 12:49:21.316 	DEBUG    	GNSDK SQLite 	0xF7C05B80	[api_trace]	gnsdk_storage_sqlite_option_set( gnsdk_storage_sqlite_memsize, 20480 )
2019-04-21 12:49:21.316 	DEBUG    	GNSDK SQLite 	0xF7C05B80	[no_source]	gnsdk_storage_sqlite_option_set(gnsdk_storage_sqlite_memsize, 20480)
2019-04-21 12:49:21.328 	DEBUG    	GNSDK Local  	0xF7C05B80	[api_trace]	gnsdk_lookup_local_initialize( 7FA6F70A7020 )
2019-04-21 12:49:21.341 	INFO     	GNSDK Local  	0xF7C05B80	[no_source]	Local Lookup Initialize: Version 3.10.8  Built 2017-01-31 18:51-0800
2019-04-21 12:49:21.341 	DEBUG    	GNSDK Manager	0xF7C05B80	[api_trace]	gnsdk_config_create( 7FFD762CE108 )
2019-04-21 12:49:21.341 	DEBUG    	GNSDK Manager	0xF7C05B80	[api_trace]	gnsdk_config_value_set( 7FA6F2B31D48, gnsdk_config_lookupdatabase_all_location, /system/media/gracenote/gndb/NA/ )
